CBSA Code,Metro Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,State Abbreviation
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Gurabo Municipio,Puerto Rico,72,063,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Humacao Municipio,Puerto Rico,72,069,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Juncos Municipio,Puerto Rico,72,077,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Las Piedras Municipio,Puerto Rico,72,085,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Loíza Municipio,Puerto Rico,72,087,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Luquillo Municipio,Puerto Rico,72,089,Outlying,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Manatí Municipio,Puerto Rico,72,091,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Maunabo Municipio,Puerto Rico,72,095,Outlying,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Morovis Municipio,Puerto Rico,72,101,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Naguabo Municipio,Puerto Rico,72,103,Outlying,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Naranjito Municipio,Puerto Rico,72,105,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Orocovis Municipio,Puerto Rico,72,107,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Río Grande Municipio,Puerto Rico,72,119,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",San Juan Municipio,Puerto Rico,72,127,Central,PR
